,sales,favorers,listings,macrame_products,years_in_business,items_sold_per_year,items_sold_per_month,avg_product_price,sales_per_month,sales_per_year,macrame_products_ratio,macrame_products_sales_per_year,macrame_products_sales_per_month,jewelry_products,decoration_products,material_products,macrame_sample_size,sample_listed_products,jewelry_products_profits,decoration_products_profits,material_products_profits,jewelry_products_quantities,decoration_products_quantities,material_products_quantities,decoration_products_sold_per_year,jewelry_products_sold_per_year,material_products_sold_per_year
0,110,78,7,7,1,110.0,9.166666666666666,328.03,3006.941666666666,36083.3,100.0,36083.3,3006.941666666666,0.0,1.0,1.0,28.57142857142857,2.0,0.0,1804165.0,1804165.0,0.0,0.14285714285714288,0.14285714285714288,15.714285714285715,0.0,15.714285714285715
1,7260,8705,781,686,4,1815.0,151.25,1803.1369942196525,272724.47037572245,3272693.6445086687,87.8361075544174,2874606.7095172177,239550.55912643482,0.0,171.0,2.0,25.218658892128282,173.0,0.0,284137426.2008348,3323244.7508869567,0.0,0.21895006402048656,0.002560819462227913,397.39436619718316,0.0,4.647887323943662
2,453,282,39,30,3,151.0,12.583333333333336,732.4869230769231,9217.127115384616,110605.52538461536,76.92307692307692,85081.17337278105,7090.0977810650875,0.0,13.0,0.0,43.33333333333334,13.0,0.0,8508117.337278105,0.0,0.0,0.33333333333333337,0.0,50.33333333333334,0.0,0.0
3,17304,8095,52,52,5,3460.8,288.4,283.28085106382997,81698.19744680855,980378.3693617028,100.0,980378.3693617028,81698.19744680855,0.0,5.0,42.0,90.3846153846154,47.0,0.0,10429557.120869178,87608279.81530109,0.0,0.09615384615384616,0.8076923076923077,332.76923076923083,0.0,2795.2615384615387
4,611,594,65,66,1,611.0,50.91666666666666,1525.7986363636373,77688.58056818183,932262.966818182,101.53846153846152,946605.4740000002,78883.78950000001,0.0,20.0,2.0,33.333333333333336,22.0,0.0,86055043.09090911,8605504.30909091,0.0,0.3076923076923077,0.030769230769230767,188.0,0.0,18.8
5,521,272,50,49,1,521.0,43.41666666666666,711.0152380952379,30869.911587301576,370438.9390476189,98.0,363030.16026666656,30252.513355555537,0.0,21.0,0.0,42.857142857142854,21.0,0.0,36303016.026666656,0.0,0.0,0.42,0.0,218.82,0.0,0.0
6,19,6,21,21,1,19.0,1.5833333333333333,539.2857142857143,853.8690476190477,10246.428571428572,100.0,10246.428571428572,853.8690476190477,0.0,14.0,0.0,66.66666666666667,14.0,0.0,1024642.8571428572,0.0,0.0,0.6666666666666667,0.0,12.666666666666668,0.0,0.0
7,92,59,20,6,1,92.0,7.666666666666668,198.81,1524.21,18290.52,30.0,5487.156,457.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3000,1917,220,213,6,500.0,41.66666666666666,2077.535,86563.95833333331,1038767.5,96.8181818181818,1005715.8068181815,83809.65056818182,0.0,3.0,1.0,1.8779342723004693,4.0,0.0,75428685.51136361,25142895.17045454,0.0,0.013636363636363636,0.004545454545454545,6.8181818181818175,0.0,2.2727272727272725
9,5031,2948,75,73,4,1257.75,104.8125,527.5315686274511,55291.90253676472,663502.8304411764,97.33333333333331,645809.4216294115,53817.451802450974,0.0,3.0,48.0,69.86301369863014,51.0,0.0,3798878.950761245,60782063.21217992,0.0,0.04,0.64,50.31,0.0,804.96
